,ParticipantID,TrialNum,TruePercent,ReportedPercent,AbsError,Log2Error,ChartType
269,3478ue,23,92,93,1,0.1699250014423123,Diverging
270,3478ue,24,17,20,3,1.6438561897747248,Diverging
271,3478ue,25,27,21,6,2.6147098441152083,Diverging
272,3478ue,26,74,89,15,3.918863237274594,Diverging
273,3478ue,27,52,50,2,1.087462841250339,Diverging
274,3478ue,28,65,54,11,3.4757334309663976,Diverging
275,3478ue,29,92,86,6,2.6147098441152083,Diverging
276,3478ue,30,91,92,1,0.1699250014423123,Diverging
277,3478ue,31,85,100,15,3.918863237274594,Diverging
278,3478ue,32,15,11,4,2.0443941193584534,Diverging
279,3478ue,33,94,85,9,3.189824558880017,Diverging
280,3478ue,34,33,30,3,1.6438561897747248,Diverging
281,3478ue,35,14,18,4,2.0443941193584534,Diverging
282,3478ue,36,45,21,24,4.592457037268081,Diverging
283,3478ue,37,44,42,2,1.087462841250339,Diverging
284,3478ue,38,12,13,1,0.1699250014423123,Diverging
285,3478ue,39,75,91,16,4.011227255423254,Diverging
286,3478ue,40,39,42,3,1.6438561897747248,Diverging
287,3478ue,41,22,9,13,3.7142455176661215,Stacked
288,3478ue,42,32,63,31,4.960001932068081,Stacked
289,3478ue,43,76,69,7,2.8328900141647417,Stacked
290,3478ue,44,73,90,17,4.098032082960526,Stacked
291,3478ue,45,8,12,4,2.0443941193584534,Stacked
292,3478ue,46,96,84,12,3.599912842187128,Stacked
293,3478ue,47,90,89,1,0.1699250014423123,Stacked
294,3478ue,48,9,13,4,2.0443941193584534,Stacked
295,3478ue,49,92,77,15,3.918863237274594,Stacked
296,3478ue,50,21,13,8,3.0223678130284544,Stacked
297,3478ue,51,71,20,51,5.675957032941749,Stacked
298,3478ue,52,64,79,15,3.918863237274594,Stacked
299,3478ue,53,80,84,4,2.0443941193584534,Stacked
300,3478ue,54,83,94,11,3.4757334309663976,Stacked
301,3478ue,55,47,40,7,2.8328900141647417,Stacked
302,3478ue,56,41,50,9,3.189824558880017,Stacked
303,3478ue,57,52,40,12,3.599912842187128,Stacked
304,3478ue,58,34,35,1,0.1699250014423123,Stacked
305,3478ue,59,64,79,15,3.918863237274594,Stacked
306,3478ue,60,83,91,8,3.0223678130284544,Stacked
307,b6yixy,1,53,50,3,1.6438561897747248,Normal
308,b6yixy,2,16,20,4,2.0443941193584534,Normal
309,b6yixy,3,35,50,15,3.918863237274594,Normal
310,b6yixy,4,33,30,3,1.6438561897747248,Normal
311,b6yixy,5,93,90,3,1.6438561897747248,Normal
312,b6yixy,6,17,21,4,2.0443941193584534,Normal
313,b6yixy,7,30,30,0,0.0,Normal
314,b6yixy,8,50,50,0,0.0,Normal
315,b6yixy,9,36,35,1,0.1699250014423123,Normal
316,b6yixy,10,27,26,1,0.1699250014423123,Normal
317,b6yixy,11,53,62,9,3.189824558880017,Normal
318,b6yixy,12,70,74,4,2.0443941193584534,Normal
319,b6yixy,13,100,85,15,3.918863237274594,Normal
320,b6yixy,14,77,86,9,3.189824558880017,Normal
321,b6yixy,15,86,92,6,2.6147098441152083,Normal
322,b6yixy,16,41,50,9,3.189824558880017,Normal
323,b6yixy,17,21,14,7,2.8328900141647417,Normal
324,b6yixy,18,31,32,1,0.1699250014423123,Normal
325,b6yixy,19,24,22,2,1.087462841250339,Normal
326,b6yixy,20,50,50,0,0.0,Normal
327,b6yixy,21,52,50,2,1.087462841250339,Diverging
328,b6yixy,22,84,76,8,3.0223678130284544,Diverging
329,b6yixy,23,65,63,2,1.087462841250339,Diverging
330,b6yixy,24,70,80,10,3.3398500028846247,Diverging
331,b6yixy,25,78,84,6,2.6147098441152083,Diverging
332,b6yixy,26,8,10,2,1.087462841250339,Diverging
333,b6yixy,27,37,26,11,3.4757334309663976,Diverging
334,b6yixy,28,82,89,7,2.8328900141647417,Diverging
335,b6yixy,29,47,50,3,1.6438561897747248,Diverging
336,b6yixy,30,97,100,3,1.6438561897747248,Diverging
337,b6yixy,31,51,50,1,0.1699250014423123,Diverging
338,b6yixy,32,12,12,0,0.0,Diverging
339,b6yixy,33,75,83,8,3.0223678130284544,Diverging
